,장소,주차장수,면수,주차장수 대비 면수
78,서울특별시 강남구 논현동 언주로130길 30 주변,14.0,1540.0,110.0
79,서울특별시 강남구 청담동 선릉로 748 주변,6.0,722.0,120.33333333333333
80,서울특별시 강남구 일원동 일원동 701-2 번지 주변,0.0,0.0,0.0
81,서울특별시 강남구 신사동 신사동 610-10 주변,9.0,1472.0,163.55555555555554
82,서울특별시 강남구 신사동 도산대로 313 주변,5.0,496.0,99.2
83,서울특별시 강남구 삼성동 삼성로 520 주변,14.0,6151.0,439.35714285714283
84,서울특별시 강남구 수서동 214-2,0.0,0.0,0.0
85,서울특별시 강남구 대치2동 도곡로 부근,0.0,0.0,0.0
86,서울특별시 강남구 역삼동 도곡로21길 7 주변,1.0,22.0,22.0
87,서울특별시 강남구 대치동 도곡로93길 12 주변,1.0,85.0,85.0
88,서울특별시 강남구 대치동 영동대로 312 주변,0.0,0.0,0.0
89,서울특별시 강남구 삼성동 봉은사로 415 주변,1.0,20.0,20.0
90,서울특별시 강남구 청담동 도산대로 507 주변,3.0,130.0,43.333333333333336
91,서울특별시 강남구 대치동 도곡로 420 주변,2.0,164.0,82.0
92,서울특별시 강남구 일원동 일원동 699 번지 주변,0.0,0.0,0.0
93,서울특별시 강남구 역삼동 테헤란로34길 7 주변,10.0,2577.0,257.7
94,서울특별시 강남구 신사동 논현로159길 57 주변,13.0,1042.0,80.15384615384616
95,서울특별시 강남구 개포동 개포로109길 21 주변,0.0,0.0,0.0
96,서울특별시 강남구 대치동 삼성로 334 주변,2.0,111.0,55.5
97,서울특별시 강남구 청담동 청담동 3 주변,3.0,65.0,21.666666666666668
98,서울특별시 강남구 대치동 대치동 986-4 주변,1.0,85.0,85.0
99,서울특별시 강남구 대치동 삼성로85길 11 주변,10.0,2905.0,290.5
100,서울특별시 강남구 역삼동 논현로 512 주변,11.0,3027.0,275.1818181818182
101,서울특별시 강남구 삼성동 테헤란로87길 36 주변,10.0,4512.0,451.2
102,서울특별시 강남구 논현동 122-8,21.0,766.0,36.476190476190474
103,서울특별시 강남구 일원동 일원로3길 46 주변,0.0,0.0,0.0
104,서울특별시 강남구 청담동 서울 강남구 청담동 77-4,5.0,823.0,164.6
105,서울특별시 강남구 대치동 도곡로 408 주변,2.0,164.0,82.0
106,서울특별시 강남구 논현동 언주로 605 주변,1.0,173.0,173.0
107,서울특별시 강남구 신사동 논현로 838 주변,11.0,1505.0,136.8181818181818
108,서울특별시 강남구 논현동 언주로129길 21 주변,10.0,1005.0,100.5
109,서울특별시 강남구 논현동 논현동 276-2 주변,1.0,20.0,20.0
110,서울특별시 강남구 대치1동 도곡로 부근,0.0,0.0,0.0
111,서울특별시 강남구 역삼동 역삼로 125 주변,15.0,1346.0,89.73333333333333
112,서울특별시 강남구 대치동 남부순환로 2921 주변,0.0,0.0,0.0
113,서울특별시 강남구 개포동 개포로109길 62 주변,0.0,0.0,0.0
114,서울특별시 강남구 논현동 봉은사로37길 43 주변,3.0,424.0,141.33333333333334
115,서울특별시 강남구 대치동 도곡로78길 7 주변,3.0,249.0,83.0
116,서울특별시 강남구 논현동 학동로 156 주변,11.0,628.0,57.09090909090909
117,서울특별시 강남구 대치동 선릉로 312 주변,1.0,138.0,138.0
118,서울특별시 강남구 청담동 도산대로 429 주변,2.0,56.0,28.0
119,서울특별시 강남구 신사동 압구정로18길 28 주변,14.0,1255.0,89.64285714285714
120,서울특별시 강남구 신사동 선릉로 801 주변,1.0,45.0,45.0
121,서울특별시 강남구 논현동 언주로133길 7 주변,13.0,1434.0,110.3076923076923
122,서울특별시 강남구 신사동 도산대로 113 주변,15.0,509.0,33.93333333333333
123,서울특별시 강남구 삼성동 테헤란로87길 46 주변,8.0,3916.0,489.5
124,서울특별시 강남구 신사동 도산대로25길 32 주변,12.0,1256.0,104.66666666666667
125,서울특별시 강남구 수서동 188,0.0,0.0,0.0
126,서울특별시 강남구 역삼동 737,8.0,1918.0,239.75
127,서울특별시 강남구 역삼동 강남대로 320 주변,8.0,1016.0,127.0
128,서울특별시 강남구 논현동 강남대로146길 28 주변,18.0,548.0,30.444444444444443
