,장소,주차장(1등급),주차장(2등급),주차장(3등급)
81,서울특별시 강남구 신사동 신사동 610-10 주변,0.0,1.0,9.0
82,서울특별시 강남구 신사동 도산대로 313 주변,0.0,0.0,12.0
83,서울특별시 강남구 삼성동 삼성로 520 주변,0.0,1.0,15.0
84,서울특별시 강남구 수서동 214-2,1.0,1.0,0.0
85,서울특별시 강남구 대치2동 도곡로 부근,0.0,2.0,0.0
86,서울특별시 강남구 역삼동 도곡로21길 7 주변,0.0,0.0,5.0
87,서울특별시 강남구 대치동 도곡로93길 12 주변,0.0,3.0,5.0
88,서울특별시 강남구 대치동 영동대로 312 주변,0.0,3.0,4.0
89,서울특별시 강남구 삼성동 봉은사로 415 주변,0.0,0.0,3.0
90,서울특별시 강남구 청담동 도산대로 507 주변,0.0,1.0,7.0
91,서울특별시 강남구 대치동 도곡로 420 주변,1.0,0.0,6.0
92,서울특별시 강남구 일원동 일원동 699 번지 주변,2.0,1.0,0.0
93,서울특별시 강남구 역삼동 테헤란로34길 7 주변,0.0,0.0,8.0
94,서울특별시 강남구 신사동 논현로159길 57 주변,1.0,0.0,9.0
95,서울특별시 강남구 개포동 개포로109길 21 주변,1.0,2.0,0.0
96,서울특별시 강남구 대치동 삼성로 334 주변,0.0,1.0,4.0
97,서울특별시 강남구 청담동 청담동 3 주변,1.0,0.0,13.0
98,서울특별시 강남구 대치동 대치동 986-4 주변,0.0,2.0,5.0
99,서울특별시 강남구 대치동 삼성로85길 11 주변,0.0,1.0,12.0
100,서울특별시 강남구 역삼동 논현로 512 주변,0.0,0.0,15.0
101,서울특별시 강남구 삼성동 테헤란로87길 36 주변,0.0,1.0,11.0
102,서울특별시 강남구 논현동 122-8,1.0,0.0,4.0
103,서울특별시 강남구 일원동 일원로3길 46 주변,2.0,2.0,1.0
104,서울특별시 강남구 청담동 서울 강남구 청담동 77-4,0.0,0.0,1.0
105,서울특별시 강남구 대치동 도곡로 408 주변,1.0,0.0,4.0
106,서울특별시 강남구 논현동 언주로 605 주변,0.0,0.0,6.0
107,서울특별시 강남구 신사동 논현로 838 주변,1.0,0.0,12.0
108,서울특별시 강남구 논현동 언주로129길 21 주변,0.0,0.0,10.0
109,서울특별시 강남구 논현동 논현동 276-2 주변,0.0,0.0,4.0
110,서울특별시 강남구 대치1동 도곡로 부근,0.0,1.0,0.0
111,서울특별시 강남구 역삼동 역삼로 125 주변,0.0,0.0,4.0
112,서울특별시 강남구 대치동 남부순환로 2921 주변,0.0,1.0,3.0
113,서울특별시 강남구 개포동 개포로109길 62 주변,1.0,1.0,0.0
