,주차장명,주소,총 주차면,위도,경도
79,명성빌딩 주차장,강남구 논현동 165-3,8,37.5066571,127.0238537
80,미래빌딩 주차장,강남구 논현동 87-2,32,37.5145879,127.0309447
81,미림타워 주차장,강남구 역삼동 825-22,95,37.4972885,127.0296076
82,미성빌딩 주차장,강남구 논현동 115-7,69,37.5161576,127.0369016
83,민 강남클리닉 주차장,강남구 논현동 55-3,31,37.5122158,127.0243152
84,보림빌딩 주차장,강남구 논현동 17-4,7,37.5151565,127.0203529
85,보암빌딩 주차장,강남구 신사동 528-0,50,37.5225486,127.0200141
86,보전빌딩 주차장,강남구 논현동 70-7,98,37.5191633,127.0341197
87,브이플렉스 주차장,강남구 삼성동 157-27,227,37.5073392,127.0568029
88,비전타워 주차장,강남구 역삼동 826-26,72,37.4964557,127.0296885
89,삼국빌딩 주차장,강남구 신사동 576-10,31,37.5247446,127.0268978
90,삼성로 별관 공영주차장,강남구 삼성동 66-0,45,37.5158762,127.0521299
91,삼성생명 대치타워 부설주차장,강남구 대치동 891-0,366,37.5054545,127.053455
92,삼성서울병원,강남구 일원동 50-0,2850,37.4889432,127.0876424
93,삼성제일빌딩,강남구 역삼동 702-2,302,37.5035193,127.0444189
94,삼양빌딩 주차장,강남구 논현동 120-4,35,37.5108109,127.0218914
95,삼익 라비돌 빌딩 부설주차장,강남구 역삼동 720-2,47,37.5019066,127.0418812
96,삼일프라자 오피스텔 주차장,강남구 역삼동 837-26,373,37.4907579,127.0324875
97,삼정빌딩 부설주차장,강남구 역삼동 701-2,213,37.5030856,127.0430503
98,삼흥빌딩 주차장,강남구 역삼동 705-11,230,37.5045145,127.0478185
99,서림빌딩 주차장,강남구 역삼동 649-10,113,37.4990162,127.029877
100,서우빌딩 주차장,강남구 역삼동 837-0,39,37.4915374,127.0311781
101,섬유센터빌딩 주차장,강남구 대치동 944-31,397,37.5075512,127.060561
102,성현빌딩 주차장,강남구 논현동 19-2,44,37.5133331,127.0208292
103,센터필드 주차장,강남구 역삼동 676-0,889,37.5032173,127.0416201
104,송민빌딩 주차장,강남구 역삼동 826-28,32,37.4964994,127.0300724
105,송암빌딩 주차장,강남구 논현동 84-0,30,37.5167532,127.034911
106,슈페리어타워,강남구 대치동 945-5,62,37.5080761,127.0619864
107,신안빌딩 주차장,강남구 대치동 943-19,270,37.5072073,127.0592352
108,신영빌딩 부설주차장,강남구 청담동 68-5,293,37.5228835,127.0545777
109,신일빌딩 부설주차장,강남구 삼성동 143-39,62,37.5062107,127.0533708
110,씨티타워 주차장,강남구 역삼동 817-23,11,37.5003287,127.0285154
111,아남빌딩주차장,강남구 삼성동 91-31,55,37.5153516,127.0601103
112,아마노코리아 청담 주차장,강남구 청담동 99-11,11,37.5253533,127.0460694
113,아워홈 역삼빌딩 주차장,강남구 역삼동 830-24,40,37.4937915,127.0319089
114,아이캐슬빌딩 주차장,강남구 논현동 86-1,67,37.5149485,127.0306414
115,아이파크타워 부설주차장,강남구 삼성동 160-0,111,37.513696,127.0610812
116,아주빌딩,강남구 역삼동 679-5,158,37.5012699,127.037163
117,압구정빌딩 부설주차장,강남구 신사동 599-0,160,37.5240001,127.0287323
118,어반하이브빌딩 주차장,강남구 논현동 200-7,52,37.5048707,127.0247761
119,어제오늘와이앤티성형외과의원 주차장,강남구 논현동 159-3,30,37.5095012,127.0258685
120,에스코빌딩 주차장,강남구 역삼동 649-5,54,37.4995941,127.0304599
121,역삼아이타워,강남구 역삼동 707-27,76,37.5035079,127.0470215
122,예작빌딩 주차장,강남구 도곡동 543-4,22,37.4924077,127.0422106
123,오로라빌딩 주차장,강남구 대치동 997-0,50,37.5093244,127.066011
124,오성빌딩 주차장,강남구 역삼동 831-42,30,37.4937527,127.0314673
125,오토웨이타워 주차장,강남구 대치동 948-0,338,37.5060526,127.0634854
126,위워크 선릉3호점 주차장,강남구 대치동 889-41,73,37.503376,127.049776
127,위워크 신사점 주차장,강남구 논현동 18-3,7,37.5141629,127.0206023
128,유니언타운 강남 주차장,강남구 역삼동 649-0,10,37.4996032,127.029589
129,유성빌딩 주차장,강남구 논현동 165-17,16,37.5072384,127.0238756
130,육인빌딩 주차장,강남구 대치동 996-16,33,37.5082452,127.0654668
131,율암빌딩 주차장,강남구 논현동 127-2,83,37.5127077,127.028459
132,일환빌딩,강남구 역삼동 703-5,34,37.5042275,127.0443024
133,"잠원1, 2, 3, 4, 5, 6주차장",강남구 압구정동 386-0,735,37.5275007,127.0189266
134,장연빌딩 주차장,강남구 역삼동 635-10,21,37.5001513,127.0290763
135,전기공사공제조합빌딩 주차장,강남구 논현동 19-7,89,37.5130675,127.0208496
136,정일빌딩 부설주차장,강남구 논현동 142-2,28,37.5101814,127.0222548
137,제이빌딩 주차장,강남구 논현동 51-3,65,37.5117368,127.0221768
138,제이스타워 주차장,강남구 역삼동 826-27,26,37.4966521,127.0300128
139,제이타워,강남구 신사동 538-0,88,37.5182127,127.0237111
140,조이빌딩 주차장,강남구 역삼동 817-29,18,37.5005157,127.0282472
141,청담동 삼강빌딩,강남구 청담동 133-2,47,37.5205738,127.0573614
142,충림빌딩 주차장,강남구 역삼동 808-5,66,37.5041634,127.0251043
143,카로시티 빌딩 주차장,강남구 신사동 577-5,28,37.5254493,127.0271296
144,캠코양재타워 부설주차장,강남구 도곡동 949-3,363,37.4869217,127.0334325
145,케이타워 주차장,강남구 신사동 514-22,12,37.5172863,127.0209755
146,켐브리지 강남빌딩 주차장,강남구 역삼동 825-18,62,37.4980272,127.0293696
147,코엑스 주차장,강남구 삼성동 159-0,2123,37.5101935,127.0585824
148,큰길타워,강남구 역삼동 677-25,237,37.5023634,127.0406629
149,태성빌딩,강남구 대치동 988-15,85,37.4994207,127.0616513
150,태원빌딩 주차장,강남구 논현동 267-2,20,37.5134776,127.0422989
151,트리스빌딩,강남구 논현동 70-6,117,37.5195638,127.0340614
152,파티오나인,강남구 논현동 66-24,64,37.5182283,127.0292143
153,팜모드 주차장,강남구 세곡동 551-0,45,37.4633908,127.1004338
154,퍼스트빌딩 주차장,강남구 논현동 51-6,28,37.5116708,127.0224752
155,평화빌딩 주차장,강남구 신사동 629-15,30,37.5215425,127.0326308
156,포스코 P&S빌딩 부설주차장,강남구 역삼동 735-3,192,37.4993385,127.0337927
157,포스코 센터 부설주차장,강남구 대치동 892-0,1149,37.5057406,127.056107
158,프리마호텔,강남구 청담동 52-3,99,37.5241094,127.0522769
159,하이파킹 서울의료원 강남분원 주차장,강남구 삼성동 171-1,511,37.5121472,127.0664373
160,한교빌딩 주차장,강남구 신사동 535-8,12,37.5195674,127.0225566
161,한국 기술센터 부설주차장,강남구 역삼동 701-7,101,37.5033041,127.0437702
162,한국건설기술인회관,강남구 논현동 238-5,79,37.5148904,127.0357573
163,한국지식재산센터 부설주차장,강남구 역삼동 647-9,293,37.5000287,127.0329141
164,한남대교전망카페 주차장,강남구 압구정동 386-1,70,37.5243968,127.0159217
165,한맥빌딩 주차장,강남구 논현동 165-8,33,37.5061581,127.0240989
