,주소,주차장명,위도,경도,총주차면,분당기본요금,주차장등급
69,강남구 도곡동 457-7,매봉주차장(민영),37.4832045,127.0463568,36,50.0,3
70,강남구 청담동 125-8,명동주차장(민영),37.5254319,127.0523677,37,100.0,3
71,강남구 역삼동 678-20,미래주차장(민영),37.5022435,127.0385507,13,100.0,3
72,강남구 역삼동 651-2,발트주차장(민영),37.507353,127.0355206,16,150.0,3
73,강남구 청담동 85-5,버거킹주차장(민영),37.5242656,127.0397117,15,20.0,3
74,강남구 역삼동 621-21,벧엘주차장(민영),37.5017431,127.02816,15,50.0,3
75,강남구 삼성동 161-18,봉은주차장(민영),37.514045,127.0627035,17,50.0,3
76,강남구 청담동 87-5,붕붕유료주차장(민영),37.5238012,127.0406736,10,100.0,3
77,강남구 삼성동 169-6,블루파킹 길훈빌딩 주차장(민영),37.5101537,127.0643447,13,73.28,3
78,강남구 삼성동 161-1,블루파킹 삼성2호점 태성주차장(민영),37.514251,127.0623265,23,66.67,3
79,강남구 논현동 42-11,삼보 주차장(민영),37.5132446,127.0250518,25,66.67,3
80,강남구 삼성동 152-60,삼성동나대지주차장(민영),37.5102673,127.0564176,15,100.0,3
81,강남구 신사동 625-13,삼성유료주차장(민영),37.5240502,127.0308811,19,66.67,3
82,강남구 역삼동 725-28,삼성유료주차장(민영),37.4998167,127.0402861,34,66.67,3
83,강남구 삼성동 143-10,삼성제일주차장(민영),37.507192,127.0540461,22,83.33,3
84,강남구 삼성동 36-8,삼성주차장(민영),37.5116363,127.044467,20,100.0,3
85,강남구 신사동 617-8,삼성주차장(민영),37.5284042,127.0329846,50,66.67,3
86,강남구 역삼동 605-1,삼성호텔주차장(민영),37.5060444,127.0320731,87,100.0,3
87,강남구 역삼동 725-31,삼풍유료주차장(민영),37.4996706,127.0406001,30,66.67,3
88,강남구 역삼동 749-13,선일주차장(민영),37.4952491,127.0357317,16,50.0,3
89,강남구 삼성동 133-0,선정릉주차장(민영),37.5074553,127.0486905,56,80.0,3
90,강남구 율현동 298-11,세곡주차장(민영),37.471784,127.1058728,21,100.0,3
91,강남구 대치동 996-6,세일주차장(민영),37.5089202,127.0656032,26,66.67,3
92,강남구 신사동 536-20,세진주차장(민영),37.5186868,127.0229663,8,100.0,3
93,강남구 역삼동 678-26,형제주차장(민영),37.5021382,127.0388924,17,66.67,3
94,강남구 신사동 524-3,호경주차장(민영),37.5216613,127.021243,22,100.0,3
95,강남구 신사동 510,흥창빌딩 노외주차장(민영),37.5182242,127.0199825,14,83.33,3
96,일원동 733,광평로,37.4830142,127.0818201,31,73.28,3
97,논현로 205 ~ 논현로 209,논현로,37.5065301,127.0296577,43,73.28,3
98,논현로 639 ~ 논현로 609,논현로,37.5105313,127.0320332,22,73.28,3
99,논현로7길 3 ~ 논현로1길 21,논현로,37.4730908,127.0488888,15,73.28,3
100,압구정동 369-3 ~ 압구정동 462,논현로190길,37.5315828,127.0255033,31,73.28,3
101,압구정동 369-1,논현로 190길,37.5328218,127.0280273,33,73.28,3
102,도산대로 304 ~ 도산대로 336,도산대로,37.5225859,127.0389209,19,73.28,3
